,artist,album,track,album_art
0,Thin Lizzy,Vagabonds Of The Western World,Black Boys On The Corner,https://i.scdn.co/image/2a4baf0b4dab62a07eb03b195369237dff6a6c2d
1,Nick Drake,Bryter Layter,Hazey Jane I,https://i.scdn.co/image/8ddf07225ac7fcb83dbb8343f26fff5485539642
2,Nick Drake,Bryter Layter,Hazey Jane II,https://i.scdn.co/image/8ddf07225ac7fcb83dbb8343f26fff5485539642
3,Nick Drake,Bryter Layter,Fly,https://i.scdn.co/image/8ddf07225ac7fcb83dbb8343f26fff5485539642
4,The Modern Lovers,The Modern Lovers,Government Center,https://i.scdn.co/image/acc47f4d97d064339f691978e227c04c6cc3253c
5,Songs: Ohia,Magnolia Electric Co. (10th Anniversary Deluxe Edition),Farewell Transmission,https://i.scdn.co/image/a5181f90e8bc0a2cc262598d1f8af132d69958a2
6,Loving,Nihilist Kite Flyer,Nihilist Kite Flyer,https://i.scdn.co/image/ffba98861116db1b3d9f685c7b3a6b77473de4e5
7,Parquet Courts,Sunbathing Animal,Black And White,https://i.scdn.co/image/5b26b73801bc518d64bcf1ca87d0d3d7a36226c5
8,The Garden,The Life And Times Of A Paperclip,Trust,https://i.scdn.co/image/ea0897364ebe507d4d0d52b490174a8aa5484d58
9,Busta Rhymes,The Coming,Do My Thing,https://i.scdn.co/image/97fa1d202d2c281dbd0b3585cef55e7e95e0fbb4
10,Thin Lizzy,Fighting,Rosalie,https://i.scdn.co/image/93fb59c7d7823a0b0a33fbe9cf55ee4fb54e3f73
11,Metallica,...And Justice for All (Remastered),Blackened (Remastered),https://i.scdn.co/image/6ef27c3354a767a9f5a98203943cbc8b58166d0c
12,Toro y Moi,What For?,Yeah Right,https://i.scdn.co/image/9cdc93504b2cefbed8b9ad3ab2b235028139c52f
13,Nick Drake,Bryter Layter,One Of These Things First,https://i.scdn.co/image/8ddf07225ac7fcb83dbb8343f26fff5485539642
14,Thin Lizzy,Thin Lizzy,The Friendly Ranger At Clontarf Castle,https://i.scdn.co/image/5cac8546af861510b7b3c742a6d7051483aece12
15,Thin Lizzy,Chinatown,We Will Be Strong,https://i.scdn.co/image/ff3137e8770d768aedae43491084e521938fae17
16,George Harrison,All Things Must Pass (Remastered),My Sweet Lord,https://i.scdn.co/image/71cf61e0d6ebe6803e2c0b9cda70d154944ea99a
17,Thin Lizzy,Bad Reputation,Soldier Of Fortune,https://i.scdn.co/image/5d9e7f42ff183df0070b8502f54ddaafdeb8b84f
18,Kanye West,ye,I Thought About Killing You,https://i.scdn.co/image/e67c37be368b0b47319f5c7a57ab5f4e3c262f3c
19,Death Grips,No Love Deep Web,Come Up And Get Me,https://i.scdn.co/image/51752078cf0fb40ced7b2ff3d246d40880656862
20,Nick Drake,Pink Moon,Pink Moon,https://i.scdn.co/image/9c60ed6d296fcb6c48dd8c22bc73ac0423ffc8be
21,Death,Scream Bloody Gore,Scream Bloody Gore,https://i.scdn.co/image/aa39c4bdd605975fbe95b2adfe2c505fe3446fb7
22,Motörhead,Motorhead,Motörhead,https://i.scdn.co/image/8896517ce407af4fa2275b3a4d3fbee8b5626b5c
23,Skinshape,Filoxiny,I Didn't Know,https://i.scdn.co/image/3798bcf1ae0c5c304864b94b67101f67da2b29f9
24,America,Hideaway,Lovely Night,https://i.scdn.co/image/8837f15fe32d89f6777b2250014b85ae2232fd32
